qltg,1=龟甲冬青
qira,1=龟派气功
qtqq,1=龟毛兔角
qqpk,1=龟兔赛跑
dpiy,1=龚家湾市
dmns,1=龙骨翼板
dmil,1=龙骨水车
dmup,1=龙骨净空
dchp,1=龙骧虎视
dchh,1=龙骧虎步
dchs,1=龙骑战机
dcop,1=龙马精神
dcib,1=龙马溪阶
dcix,1=龙马溪组
dcia,1=龙马溪期
dnmr,1=龙飞凤舞
dnmu,1=龙飞凤翔
dbpv,1=龙阳之好
dunl,1=龙门飞甲
dudp,1=龙门石窟
dups,1=龙门客栈
dqpr,1=龙钦宁提
dkmk,1=龙跃凤鸣
dmst,1=龙贝格征
dthh,1=龙行虎步
dtgv,1=龙血武姬
djmf,1=龙蟠凤翥
djnr,1=龙蛇飞舞
djiv,1=龙蛇混杂
djmu,1=龙虾雕塑
djxw,1=龙虾幼体
dnvs,1=龙虱甾酮
dtup,1=龙舟竞赛
dtui,1=龙舟竞渡
deli,1=龙腾四海
difm,1=龙脊雪山
demm,1=龙肝凤髓
dfmn,1=龙翰凤翼
dumr,1=龙翔凤舞
dxju,1=龙线虫病
dohq,1=龙精虎猛
dumu,1=龙章凤姿
dnmh,1=龙眉凤目
dthk,1=龙盘虎踞
dtmr,1=龙盘凤舞
dtvb,1=龙生九子
dgyb,1=龙王庙阶
dihp,1=龙潭虎穴
drca,1=龙泉驿区
drmy,1=龙泉山庄
drpq,1=龙泉宾馆
dime,1=龙江风采
ducg,1=龙斗台球
dsmb,1=龙攀凤附
dcvm,1=龙戏九凤
dnpu,1=龙情蜜意
drap,1=龙年警官
dupa,1=龙帝之墓
dmlb,1=龙峰国际
dmbs,1=龙岩卫校
deqs,1=龙尕尔村
dpvw,1=龙宽九段
dbdb,1=龙子龙孙
dbia,1=龙子湖区
dbdy,1=龙子太郎
ddhf,1=龙威虎震
dume,1=龙姿凤采
dufd,1=龙头老大
ddlx,1=龙在边缘
dkpr,1=龙喉神兵
dkhk,1=龙吟虎啸
dcki,1=龙台中学
dkox,1=龙口粉丝
dwmx,1=龙华山组
dmku,1=龙凤呈翔
dmkp,1=龙凤呈祥
dugw,1=龙净环保
dwqp,1=龙体欠安
dfua,1=龙井问茶
dfml,1=龙井山园
dqhu,1=龙争虎斗
dphq,1=龙之战争
dpmf,1=龙之崛起
dadu,1=龙东大道
ufgu,1=龍城玉道
hrpa,1=龋失补牙
hgtt,1=齿颊生香
hsmd,1=齿顶曲面
huxe,1=齿间细胞
hlvh,1=齿轮刀具
hlsl,1=齿轨机车
htgk,1=齿舌下器
hihy,1=齿脊频率
huho,1=齿羊齿类
hrdx,1=齿白唇红
hufg,1=齿状韧带
husu,1=齿状核门
htma,1=齿片刚节
hsul,1=齿槽装置
hsyd,1=齿槽底面
hywg,1=齿廓修形
hvxm,1=齿如编贝
hvwm,1=齿如含贝
htwg,1=齿向修形
hduq,1=齿厚半角
ylqj,1=齐默尔曼
yqme,1=齐鲁风采
yqjr,1=齐鲁晚报
yqao,1=齐鲁工业
yqpq,1=齐鲁宾馆
yqdf,1=齐鲁大地
yqnp,1=齐鲁书社
ytdw,1=齐造邦伥
yiax,1=齐辉共续
yyaj,1=齐良芷是
yeaw,1=齐腾雅俊
yepp,1=齐胸襦裙
ybin,1=齐聚鸿飞
ybqu,1=齐聚鲁美
ybxd,1=齐聚红石
ybgj,1=齐聚瑞明
ybif,1=齐聚滨城
ybix,1=齐聚浦幼
ybsb,1=齐聚桂子
ybvr,1=齐聚旭舞
ybnd,1=齐聚恒大
ybej,1=齐聚彩盟
ybkq,1=齐聚川锅
ybpa,1=齐聚安工
ybdu,1=齐聚大美
yblt,1=齐聚国科
ybhm,1=齐聚卓同
ybhd,1=齐聚卓克
ybup,1=齐聚半客
ybub,1=齐聚北阶
ybyr,1=齐聚亦搏
ybgs,1=齐聚五楼
ybgm,1=齐聚五山
ybqp,1=齐聚乐视
ybqx,1=齐聚乐缘
ybmi,1=齐聚丹洲
ybgi,1=齐聚一堂
yxsw,1=齐纳森作
yxqx,1=齐纨鲁缟
ylqx,1=齐界鲁疆
yqib,1=齐独沐子
yoda,1=齐焱大医
yovh,1=齐烟九点
ynss,1=齐民要术
yuuw,1=齐次部分
yugs,1=齐次理想
yuws,1=齐次坐标
yubo,1=齐次函数
ysxm,1=齐格纳山
yjtx,1=齐明系统
yrat,1=齐抓共管
ynsc,1=齐性检验
ylqm,1=齐思鲁风
ynnl,1=齐心戮力
ynul,1=齐心并力
ynwl,1=齐心合力
ynfl,1=齐心协力
yyjq,1=齐州监狱
ypil,1=齐家治国
yvwd,1=齐姆分布
yuuf,1=齐头并进
ygdc,1=齐天大圣
yfkv,1=齐声叫好
yfjo,1=齐墩果烷
ykgx,1=齐哈玛乡
ykjs,1=齐哈日格
ygmi,1=齐吾岗派
yvsw,1=齐君桓公
ywdo,1=齐华矿业
ywdy,1=齐健艳文
ywpp,1=齐人之福
ypbw,1=齐之耻食
ypnp,1=齐之以礼
yajy,1=齐东野语
tpge,1=鼻额静脉
tgee,1=鼻青脸肿
tghe,1=鼻青眼肿
tuqp,1=鼻道狭窄
tehg,1=鼻肿眼青
tnlm,1=鼻翼软骨
tnrr,1=鼻翼缺损
txou,1=鼻红粒病
tfau,1=鼻真菌病
tigd,1=鼻梁形态
tdgs,1=鼻成形术
ttmu,1=鼻息肉病
tied,1=鼻尖肥大
tbuq,1=鼻孔闭锁
tbqp,1=鼻孔狭窄
tbqt,1=鼻孔外翻
tqge,1=鼻外静脉
tkjs,1=鼻咽电极
tags,1=鼻切开术
vvtl,1=鼠鼠我鸭
vuqu,1=鼠首兔首
vuri,1=鼠道排水
vkur,1=鼠蹊部的
vejn,1=鼠肝虫臂
vece,1=鼠肚鸡肠
vpqu,1=鼠窃狗盗
vpqw,1=鼠窃狗偷
vhqu,1=鼠目獐头
vhfi,1=鼠目寸光
vuag,1=鼠疫菌素
vusa,1=鼠疫杆菌
vsil,1=鼠标滚轮
vsew,1=鼠标悬停
vsir,1=鼠标少年
fqlx,1=鼓镫连结
fkcr,1=鼓足勇气
ffcr,1=鼓起勇气
fruf,1=鼓舞斗志
frfr,1=鼓舞士气
frwn,1=鼓舞人心
fery,1=鼓膜按摩
fequ,1=鼓脑争头
fhvh,1=鼓眼努睛
fglb,1=鼓形转子
fpoe,1=鼓室粘膜
fppx,1=鼓室神经
fpdw,1=鼓室硬化
flbm,1=鼓围耳骨
fdgp,1=鼓励一写
hhdq,1=鼎鼎大名
hnmd,1=鼎飞丹砂
hqvq,1=鼎镬刀锯
